bloodmeal_id,locus_count,est_noc,match,human_id,log10_lr,notes,thresh_low
K05_00141,9,1,yes,K05_3,8.82,passed all filters,8
M13_00124,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M07_00436,9,1,yes,M07_2,10.19,passed all filters,9.5
M07_00438,9,2,yes,M07_7,4.24,passed all filters,3.5
M07_00438,9,2,yes,M07_10,8.98,passed all filters,3.5
K02_00188,9,1,yes,K02_5,8.91,passed all filters,8
M17_00129,4,1,no,NA,NA,> min NOC matches,9
M05_00109,9,1,yes,M05_3,9.78,passed all filters,9
M16_00194,9,1,yes,M16_5,8.49,passed all filters,7.5
K13_00158,9,1,yes,K16_4,9.32,passed all filters,8.5
M01_0411,9,1,yes,M01_6,9.61,passed all filters,9
S13_00023,9,2,yes,S13_5,10.54,passed all filters,10
K07_00111,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0578,9,1,yes,M07_10,10.11,passed all filters,9.5
M09_0409,9,1,yes,M09_13,10.29,passed all filters,9.5
M01_00174,9,1,no,NA,NA,all log10LRs < 1.5,NA
M17_00046,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S16_00007,9,1,yes,S16_6,8.64,passed all filters,8
M09_0450,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
N14_00013,9,1,yes,N14_3,10.21,passed all filters,9.5
S06_00045,9,1,yes,S06_6,8.23,passed all filters,7.5
K13_00169,9,1,yes,K16_4,9.32,passed all filters,8.5
L14_00004,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S03_00024,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L08_00012,9,2,yes,L08_5,9.77,passed all filters,1.5
L08_00012,9,2,yes,L08_2,2.04,passed all filters,1.5
K13_00181,9,2,yes,K13_3,10.07,passed all filters,9.5
M03_00128,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00417,9,2,yes,M07_1,6.43,passed all filters,5.5
M17_00015,9,1,yes,M17_4,9.25,passed all filters,8.5
S10_00085,6,1,yes,S02_5,4.67,passed all filters,4
K13_00074,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M03_00181,9,1,yes,M03_1,8.45,passed all filters,7.5
K05_00325,9,1,yes,K05_3,8.82,passed all filters,8
M01_00334,9,1,yes,M01_5,8.96,passed all filters,8
M01_00397,4,1,no,NA,NA,all log10LRs < 1.5,NA
K02_00143,9,1,yes,K02_10,8.57,passed all filters,8
M09_00542,9,1,yes,M09_13,10.29,passed all filters,9.5
M09_0448,9,1,yes,M09_4,9.13,passed all filters,8.5
M06_0217,9,2,yes,M06_2,7.47,passed all filters,6.5
M06_0217,9,2,yes,M06_5,10.56,passed all filters,6.5
K13_00167,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L18_00002,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_XX358,1,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles,NA
N04_00005,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_0199,9,1,yes,M06_1,10.08,passed all filters,9.5
M17_00147,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_0189,9,1,yes,M06_3,10.22,passed all filters,9.5
M16_00371,9,1,yes,M16_5,8.49,passed all filters,7.5
S01_00116,9,1,yes,S01_6,8.96,passed all filters,8
S14_00025,9,1,yes,S14_7,10.22,passed all filters,9.5
M16_00262,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00333,3,1,no,NA,NA,> min NOC matches,9.5
M07_0617,9,1,no,NA,NA,all log10LRs < 1.5,NA
K03_00096,2,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles;euroformix error,NA
M17_00057,9,1,yes,M17_4,9.25,passed all filters,8.5
N13_00011,9,1,yes,N06_6,10.19,passed all filters,9.5
K13_00117,9,1,yes,K13_15-K16_3,7.91,passed all filters,7
K13_00168,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L04_00013,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0453,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K15_00035,9,1,yes,K15_1,8.69,passed all filters,8
K02_00237,9,1,yes,K02_5,8.91,passed all filters,8
K02_00142,9,1,yes,K02_5,8.91,passed all filters,8
M16_00191,9,2,yes,M16_4,8.7,passed all filters,8
M17_00018,9,1,yes,M17_4,9.25,passed all filters,8.5
M17_00159,2,1,no,NA,NA,all log10LRs NA or Inf,NA
M09_00470,9,2,yes,M09_7,6.01,passed all filters,5.5
M09_00470,9,2,yes,M09_13,6.75,passed all filters,5.5
S02_00137,9,1,yes,S02_7,8.1,passed all filters,7.5
M06_0196,9,1,yes,M06_1,10.08,passed all filters,9.5
M17_00059,9,1,yes,M17_3,10.38,passed all filters,9.5
M07_0547,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S04_00121,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00439,9,1,no,NA,NA,all log10LRs < 1.5,NA
S14_00067,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00196,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00096,9,1,yes,M17_4,9.25,passed all filters,8.5
M16_00148,9,2,yes,M16_6,10.82,passed all filters,10
M17_00184,9,1,yes,M17_5,9.23,passed all filters,8.5
M18_00002,9,1,yes,M18_2,10.25,passed all filters,9.5
N11_00020,9,1,yes,N11_22,12.15,passed all filters,11.5
K07_00096,6,1,yes,K07_5,6.38,passed all filters,5.5
K13_00098,9,1,yes,K16_5,9.65,passed all filters,9
M03_00139,9,1,no,NA,NA,all log10LRs < 1.5,NA
M16_00114,9,1,yes,M16_5,8.49,passed all filters,7.5
M16_00193,9,1,yes,M16_4,9.23,passed all filters,8.5
S04_00124,9,1,yes,S04_6,7.56,passed all filters,7
K05_00323,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00325,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00330,9,2,yes,M16_5,6.22,passed all filters,5.5
M16_00330,9,2,yes,M16_8,7.5,passed all filters,5.5
N09_00004,9,1,yes,N09_9,9.93,passed all filters,9
M01_00340,9,1,yes,M01_5,8.96,passed all filters,8
N14_00024,9,1,yes,N14_3,10.21,passed all filters,9.5
N14_00021,9,1,yes,N14_3,10.21,passed all filters,9.5
K13_00178,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00040,9,1,yes,N13_5,8.6,passed all filters,8
M05_00099,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K13_00124,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00017,9,1,yes,M17_3,10.38,passed all filters,9.5
N11_00010,9,2,yes,N11_2,9.15,passed all filters,8
N11_00010,9,2,yes,N11_12,8.77,passed all filters,8
S02_00136,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00349,9,2,yes,M01_5,8.92,passed all filters,3.5
M01_00349,9,2,yes,N04_5,4.12,passed all filters,3.5
L09_00009,9,1,yes,L09_6,9.59,passed all filters,9
L11_00005,4,1,no,NA,NA,all log10LRs < 1.5,NA
L17_00001,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K12_00173,9,1,yes,K12_4,9.34,passed all filters,8.5
N04_00010,9,1,yes,N04_6,8.7,passed all filters,8
M17_00117,9,1,yes,M17_4,9.25,passed all filters,8.5
K04_00032,9,1,yes,K04_5,8.41,passed all filters,7.5
K05_00324,1,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles;euroformix error,NA
M07_00409,9,1,yes,M07_7,13.51,passed all filters,13
M16_00342,9,1,yes,M16_2,10.62,passed all filters,10
M17_00043,9,1,yes,M17_4,9.25,passed all filters,8.5
M01_0274,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S14_00024,9,1,yes,S14_7,10.22,passed all filters,9.5
K13_00087,9,2,yes,K13_3,10.02,passed all filters,9.5
K15_00060,9,1,yes,K15_3,9.09,passed all filters,8.5
M17_00140,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00191,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S02_00102,9,1,yes,S02_4,9.92,passed all filters,9
S05_00056,9,1,yes,S05_2,8.79,passed all filters,8
M16_00343,9,1,yes,M16_4,9.23,passed all filters,8.5
S10_00099,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00368,9,1,yes,M01_1,9.96,passed all filters,9
S01_00123,9,2,yes,K04_1,6.21,passed all filters,5.5
K02_00182,9,1,yes,K02_7,8.8,passed all filters,8
M09_00526,9,1,yes,M09_7,9.58,passed all filters,9
M17_00121,9,1,yes,M17_4,9.25,passed all filters,8.5
N13_00049,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00076,9,1,yes,M17_4,9.25,passed all filters,8.5
M17_00013,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00086,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K10_00080,9,1,no,NA,NA,all log10LRs < 1.5,NA
N14_00007,9,1,yes,N14_3,10.21,passed all filters,9.5
L02_00010,9,1,yes,L02_1,8.55,passed all filters,8
M13_00175,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K10_00077,9,1,yes,K10_7,8.99,passed all filters,8
K05_00314,9,1,yes,K05_3,8.82,passed all filters,8
M06_00126,9,2,yes,M06_6,11.93,passed all filters,11
K12_00144,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N07_00020,9,1,no,NA,NA,all log10LRs < 1.5,NA
K01_00169,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K04_00047,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0580,9,1,yes,M07_10,10.11,passed all filters,9.5
K12_00134,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00158,9,1,yes,M01_3,9.88,passed all filters,9
K04_00046,9,1,yes,K04_1,9.91,passed all filters,9
N15_00031,9,1,yes,N15_3,8.6,passed all filters,8
M09_00509,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00026,9,1,yes,M17_4,9.25,passed all filters,8.5
K05_00206,9,1,yes,K05_3,8.82,passed all filters,8
K10_00103,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L16_00021,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K07_00120,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
L12_00003,9,1,yes,L12_1,9.78,passed all filters,9
M17_00102,9,1,yes,M17_4,9.25,passed all filters,8.5
L08_00014,9,1,yes,L08_5,9.93,passed all filters,9
N13_00042,9,1,yes,N13_5,8.6,passed all filters,8
M07_0476,9,1,no,NA,NA,all log10LRs < 1.5,NA
M17_00063,9,1,yes,M17_5,9.23,passed all filters,8.5
M17_00131,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0514,9,1,yes,M07_1,10.64,passed all filters,10
S09_00074,9,2,yes,S09_5,8.23,passed all filters,7.5
K01_00116,9,1,yes,L08_7,13.39,passed all filters,12.5
M14_00118,9,1,yes,M14_5,9.9,passed all filters,9
K03_00111,9,1,yes,K03_5,8.72,passed all filters,8
M16_00266,9,2,yes,M16_3,3.22,passed all filters,2.5
M16_00266,9,2,yes,M16_4,8.74,passed all filters,2.5
M03_00109,3,1,no,NA,NA,all log10LRs NA or Inf,NA
S02_00094,9,1,yes,S02_7,8.1,passed all filters,7.5
K13_00179,9,2,yes,K16_4,6.21,passed all filters,5.5
K11_00044,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00193,9,1,yes,S02_4,9.91,passed all filters,9
K07_00117,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M06_0230,9,1,yes,M06_3,10.22,passed all filters,9.5
N07_00006,9,1,yes,N07_1,9.2,passed all filters,8.5
S02_00105,9,1,yes,S02_7,8.1,passed all filters,7.5
M16_00166,9,1,yes,M16_5,8.49,passed all filters,7.5
K13_00166,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S05_00040,9,1,yes,S05_8,10.86,passed all filters,10
M04_00098,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00447,9,1,yes,M07_7,13.51,passed all filters,13
K12_00119,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00119,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M18_00004,2,1,no,NA,NA,all log10LRs NA or Inf,NA
L13_00005,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_0403,9,1,yes,M09_12,8.77,passed all filters,8
M12_00029,9,1,yes,M12_8,9.79,passed all filters,9
M13_00117,2,1,no,NA,NA,all log10LRs NA or Inf,NA
K02_00228,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N04_00024,9,2,yes,M01_5,7.36,passed all filters,6.5
N04_00024,9,2,yes,N04_5,9.69,passed all filters,6.5
S02_00148,9,1,yes,S02_7,8.1,passed all filters,7.5
K05_00157,9,1,yes,K05_5,8.51,passed all filters,8
S14_00087,9,1,yes,S14_4,7.39,passed all filters,6.5
K03_00112,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00533,9,2,yes,M09_7,9.58,passed all filters,9
M16_00327,9,1,yes,M16_5,8.48,passed all filters,7.5
K05_00311,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_0190,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00158,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00523,9,2,yes,M09_13,9.23,passed all filters,8.5
